id,FalseSent,OptionA,OptionB,OptionC
sentence_1774,She went to the doctor to buy some coffee.,doctors do not sell coffee.,doctors treat illness and injury not sell products.,coffee is bought at a store or restaurant not at a doctors office.
sentence_1775,He knew that if he worked more hours he would have more time with family,his family spend time with him at work,"if he is working, he cannot spend time with his family",he works near his family
sentence_1776,the dog had fun on the moon today,dogs don't like being in space,the moon does not allow dogs,it is not possible to put a dog on the moon
sentence_1777,I baked a roast beef for dessert.,Roasts are not made of apples.,Desserts are not made with roast beef.,You don't eat roast beef for dessert.
sentence_1778,He hit the ball with a telephone,telephones usually have buttons and bats do not,bats can fly and telephones can not,You do not play sports with a telephone
sentence_1779,The waves were crashing on the street,Waves can be dangerous,Waves usually seen at water bodies,Waves can achieve greater speed
sentence_1780,The bird spoke to us,The bird was too far to hear,The bird did not speak English,A bird cannot speak
sentence_1781,She put gas in her skateboard to drive to work.,A skateboard does not need gas nor do you drive one.,The skateboard and motorcycle both have wheels.,You can ride a skateboard to work.
sentence_1782,"Christopher Columbus sailed to North America with three ships: the Toyota, the Pontiac, and the Mazda.",The Santa Maria doesn't get good gas mileage.,"The Santa Maria, the Pinta, and the Nina are sailing ships, while the Toyota, the Pontiac, and the Mazda are cars.",The Pinta has a faulty transmission system.
sentence_1783,A diaper wears babies.,A diaper is for the purpose of filling with a baby's waste and cannot wear a baby.,A diaper is only white while babies come in different colors.,A diaper is only made from plastic.
sentence_1784,wind is coming through closed glass window.,wind speed can be very faster like light.,wind is invisible like light.,wind cannot pass through glass like light.
sentence_1785,Johnny ate a 4-course meal as his snack.,The 4-course meal is too delicious.,The 4-course meal is not big enough.,A snack is usually a small food portion.
sentence_1786,He wears a sofa in the winter,Sofa is warm just like some clothes,No one wears sofa as clothes,Sofa is bigger than people
sentence_1787,The raccoons flew south for the winter.,Raccoons can't fly.,Raccoons go north for the winter.,Raccoons wings are too short to fly.
sentence_1788,A clothing closet is for hanging up your car.,A car is much too big for a closet.,Closets are for houses and cars are for garages.,Hanging clothes are for clothes racks.
sentence_1789,He got in his bathtub to go to work.,It is good to take a bath before work.,"You get in a bath tub to take a bath, not go to work.",Some people work in the bath tub.
sentence_1790,Something you will find on a chess board is a president,A president can play chess with friends,There is no president in the chess game,A president can loose in chess games
sentence_1791,She put the bath in the baby,Baby's need to be washed and baths don't,Baby's like baths and baths are objects.,You can't put anything in a baby
sentence_1792,George Washington came to my child's birthday party yesterday.,George Washington was taller than most clowns.,George Washington was too busy for birthday parties.,"George Washington died many years ago, while many clowns were alive yesterday."
sentence_1793,He drank coffee to go to sleep.,People drink coffee when waking up from sleep.,Coffee contains caffeine which is a stimulant.,A person cannot drink coffee while sleeping.
sentence_1794,Socks is a thing which we wear on neck,Socks is a cloth which we can wear only on legs not in neck,Socks are usually made of plastic while helmet is made up of cotton,Helmet is smaller then socks
sentence_1795,I bake my pie in the hoover,the hoover uses electicity like the oven,hoover does not bake things,the hoover is noisy while the oven is not
sentence_1796,there is a truck on the bed,bed are made of wood and trucks are made of steel,a bed cannot run like a truck,a bed could not stand the weight of a truck
sentence_1797,The woman walked through the keyhole,A doorway is for entering a house while a keyhole is made of metal,A keyhole should not be upside-down,A human cannot fit through a keyhole
sentence_1798,People eat coal,Coal is not consumed as food,Coal is darker than chocolate,Coal has fewer calories than chocolate
sentence_1799,he bought a lion.,lion is not a pet.,lions are usually grey while dogs are white.,lion cannot eat biscuits.
sentence_1800,He threw a building at her.,Baseballs are usually round and buildings are usually not round.,A building has more windows than a baseball.,No one is able to throw a building.
sentence_1801,Tom has bought a car which has six rooms,Usually a car cannot have many rooms,Most cars run on four tyres,Someone should drive a car to keep moving
sentence_1802,The ostrich is at the mall.,An ostrich does not go to the mall.,Teenagers like to hang out at the mall.,Ostriches are not teenagers.
sentence_1803,A left shoulder is part of a pie,"Shoulder is a part of the human body, not a food",A pie can be flavored with strawberry while a shoulder cannot.,A shoulder should not be eaten
sentence_1804,He got on a car and flew to his destination.,A car can drive to the destination.,Cars can't fly but planes can.,Planes are faster than cars.
sentence_1805,They bunk classes to hang out with parents,Parents would know that their children are not attending classes,Few teens go out with their parents during holidays for shopping,College students prefer to spend more time doing fun stuffs
sentence_1806,I AM GOING TO BEACH FROM MADURAI,BUT NOT BEACH TO LIVE IN MADURAI,I WAS GOING TO VAIKAI RIVER TO MADURAI,I WAS GOING TO BATHROOM TO WATER FOR BOTH
sentence_1807,She jumped over the Grand Canyon.,The Grand Canyon is a tourist destination.,The grand Canyon is too large to jump over.,The Grand Canyon is in the U.S.
sentence_1808,There are many spceships in the sea.,Spaceships travel through space and not water so they are usually not found is seas.,Spaceships require special fuel in order to take off and the sea is usually very deep.,Traveling seas can casue nausea and people who travel by spaceships are astronauts.
sentence_1809,He ate tomato soup with a fork,people have more spoons than forks,the fork would not hold the liquid,most people hate forks
sentence_1810,Water is often used as a fuel,Petrol is much flammable than petrol,Petrol is usually orange colour while water is usually colourless,water cannot mix with petrol
sentence_1811,She is asking for a vacuum cleaner for President's Day,You cannot celebrate Christmas on President's Day,"Christmas is in December, where as President's Day is in February",People do not exchange gifts on President's Day
sentence_1812,my brother goes to gym after eating dinner every day,no one goes to gym after eating the meals,gym is usually a work out place and not a home,a gym cannot serve the food to eat
sentence_1813,She also cooked cow legs for the entree.,A cows leg are usually hairy and frog legs are usually tender.,"A cows leg isn't usually an entree, for dinner.",Cow legs are to big to fit on a plate.
sentence_1814,I started eating lot of food to lose weight.,The food wasn't hot enough.,No one eats more to lose weight.,The food tasted bad.
sentence_1815,She replanted the car into a larger pot.,Cars use water and so do flowers.,The car is red and so are the flowers.,Cars are larger than pots and are not something you replant.
sentence_1816,He went to McDonald's to eat lobster,n Mcdonalds they don't sell lobster,I like the McDonalds fish burger,I like the McDonalds fish burger
sentence_1817,The color green is a combination of yellow and red,Yellow and red make the wrong shade of green,The colors yellow and red make orange not green,"You don't have the color yellow, you only have red"
sentence_1818,Apple is a small timepiece worn typically on a strap on one's wrist,Apple is red in color,A timepiece is essential to keep track of time,Apple is a fruit people eat
sentence_1819,Something you find at a internet cafe is a food menu,Food menus are found at most restaurants,Food menus can be found on internet sites,People often find food menus on the table
sentence_1820,The cat ate a horse,There are black cats and horses,Horses can eat more than cats,A cat could not eat a horse because a horse is too big
sentence_1821,Large dogs can fit in a handbag.,Large dogs and handbags are often the same color.,Small dogs eventually become large dogs.,A handbag is too small to contain a large dog.
sentence_1822,Window wants to be clean,"Window is already clean, iit was washed one minute ago.",Window is too big to be clean,Window can't have any desire
sentence_1823,he bought milk for his plant and kept in the fridge,no one pours milk for plants,Plant is usually green in color while milk is white,Milk cannot dissolve the fridge
sentence_1824,He cooked his hat on the grill.,Hats are usually made of cloth.,A hat is not an item of food.,Hats can be made of corduroy.
sentence_1825,Using a BBQ I made a smoothie,BBQ's are hot and smoothies are cold.,"BBQ's make food to chew, smoothies are a drink.",Smoothies are not something a BBQ can make.
sentence_1826,He used a cat to unlock the door.,Cats are fluffy and doors are not,Cats cannot unlock doors,The door cannot unlock the cat
sentence_1827,I put air in my car,gas fuels car not air,cars are fueled with gas not air,air does not fill a gas tank
sentence_1828,animals live in homeless shelters,pets and humans always go to the homeless shelters to survive together.,they feed animals and give shelter at homeless shelters for them.,"cats live in animal shelters, not homeless shelters."
sentence_1829,she brushed her teeth with spoon,Spoon is mostly gray while teeth is white,there are generally 32 teeth in a person while very few spoons at home,spoon is a kitchen utensil used to eat food
sentence_1830,He jumped out of the plane to the  ground,parachuting to the ground is not falling to the ground,One cannot parachute to Space,One cannot jump out of the plane and safely land on the ground without a parachute
sentence_1831,she went to a dentist to check her eyes,Dentist is someone who examines tooth,Dentist wear white coat while eye is mostly both black and white,There are very few dentists in the city while everyone has two eyes
sentence_1832,she put gloves on her feet,gloves do not fit feet,gloves are clothing and feet are body parts,gloves are good for cold weather
sentence_1833,give me more humans,give the sheeps more,humans is a person. Can not give it to someone else,sheeps is giving to human
sentence_1834,She brought a new cat for her fishtank,Cats are furry and fish have scales,Cat's can't breath in water,Cats eat fish and don't like living in water
sentence_1835,He cooked the computer,You can look for recipes to cook in a computer,Cooking can be done next to a computer,Computers are not supposed to be cooked
sentence_1836,The American went to Europe by train.,The train was out of service due to track construction.,There are no rail links across the ocean to Europe.,The cost of the train ticket was too high.
sentence_1837,A hurricane is a swirling mass of sand and smoke.,Hurricanes are much colder than hot sand.,Hurricanes are cloudier than the desert.,"Hurricanes are swirling masses of air and water, and not sand and smoke and can't start on land."
sentence_1838,He put a fridge in a chicken.,Chickens can be many colors while fridges are usually white or stainless steel.,"A fridge cannot fit inside a chicken, nor would anyone try to make such a thing happen.",A fridge cannot eat a chicken.
sentence_1839,He eats a toaster for dinner.,The toaster was made of metal.,A person cannot eat a toaster.,The toaster smelled like burnt bread.
sentence_1840,Water is dusty,Water is red so it might be dry,Water at night isn't always wet,Water travels the path of least resistance and flows freely
sentence_1841,He ran over a extinct animal,Extinct animals no longer are on this planet,You can not run over something that doesn't exsist anymrore,a extinct animal is not alive
sentence_1842,He ate a bag of rubberbands for lunch.,Rubberbands can be used to close a bag of chips.,You cannot eat rubberbands.,You can shoot rubberbands at your friends while eating chips.
sentence_1843,He put the guniea pig in the fridge.,guniea pigs cant survive in the fridge.,guniea pig food goes in the fridge.,guniea pigs go in the fridge to cool off.
sentence_1844,he was admitted in a university after a heart attack,a university does not have doctors and nurses,a university is run by teachers and not by doctors,there are many universities and hospitals in the city.
sentence_1845,dogs like to chase hippos,dogs are generally small while hippos are huge,a dog would not eat a hippo,dogs and hippos do not share habitats
sentence_1846,I threw a sandwich to the catcher.,A baseball is round while a catcher is human.,A sandwich isn't equipment that is thrown to a catcher.,a sandwich is made with bread and a catcher is made of skin.
sentence_1847,The girl played on the cat at the park.,A cat does not talk but a girl can talk.,A cat is too small to play on.,A girl can not eat a cat.
sentence_1848,he cooked the stove,stove is used to cook potatoes but cannot be cooked,stoves are big while potatoes are small,potato can't cook a stove
sentence_1849,She went flying above the clouds in a submarine.,Submarines dive underwater above the ocean floor.,"Submarines dive deep, planes fly high.",Submarines do not fly.
sentence_1850,He played the CD on the record player.,It is impossible to play a CD on a record player.,A CD is of the same shape as a record.,Both CDs and records play recordings.
sentence_1851,The grocery store has lumber on sale.,"Lumber does not fit into a shopping cart, but chicken does.",Lumber is full of splinters and chicken has bones.,Grocery store do not sell lumber.
sentence_1852,Water can be stored in dvds,Water is colourless and dvds are colourful,Dvd will not work if we put water in it,Water cannot go inside dvds
sentence_1853,Only smoking may cause cancer,Smoking produce fog and cancer is a cell,Not only the smoking main culprit for cancer,Cancer cannot affect smoking
sentence_1854,I wash my clothes in the dish washer,Dish washer does not wash clothes,Dish washer and washing machine are white with many buttons,dish washer is noisy like a washing machine
sentence_1855,She kept her gold outside before entering a public toilet,A rich person keep lot of gold,Gold is kept safe in a jewelry,Usually people keep gold safe
sentence_1856,Violins are used to stir soup.,Violins add an unappealing flavour when mixed into soup.,Violins are not a kitchen utensil.,Violins are too big to fit into a soup pot.
sentence_1857,He drives a table.,A table does not have wheels.,The table's motor is not working.,A table does not drive cars.
sentence_1858,She bought a steak for dessert.,steak can be red in color while a dessert is sweet in taste.,Steak is sweet like cake.,A steak can be eaten for dessert.
sentence_1859,I am afraid of floating while swimming,Floating is a comfortable position and need not be afraid of it,Even people who know swimming gets drowned sometimes,Underwater swimming can be difficult than floating on top of water
sentence_1860,You would sing to your children because you want them to learn to read.,Singing to your children would make them want to sing more instead of reading.,Reading is better than singing.,Children are too young to learn anything.
sentence_1861,I listened to the song on the fridge.,A fridge runs on electricity.,A radio also runs on electricity.,You can't play music on a fridge.
sentence_1862,Blood comes out during volcano,Blood is present in living thing so never comes out during volcano,Blood is warm not moltan like lava,Blood comes out from living things body usually from a wound
sentence_1863,Buses carry rocks to their destination,Buses are made to serve living people,Rocks are not able to pay transit fare,Rocks don't have eyes or ears to know when their stop is
sentence_1864,She cooked bacon in the sink.,the sink wont get up to temperature,you wash dishes in the sink,you cannot cook in the sink
sentence_1865,lying is a sport,One may lay on ground after the sport,A sport involves physical activity,Doing sport improves physical strength
sentence_1866,Bleach is a popular sandwich filling,Bleach doesn't taste good,Bread is too brittle to hold the bleach,Bleach is poisonous to the human body
sentence_1867,Spaghetti is often served with watermelons.,Watermelons are too big to fit on a plate of spaghetti.,Watermelons are sweeter than tomato sauce.,"Tomato sauce needs to be cooked, while watermelons are eaten cold."
sentence_1868,She put the cat in the dishwasher.,Dishwashers are not used to clean animals.,Animals use their tongues and dishwashers use soap.,Cats have fur and dishwashers are electric.
sentence_1869,the chair sat on the man,chairs are comfy and made from wood,"the chair is heavy, much bigger than the man",the chair cant stand up to sit down
sentence_1870,The room was dark so I turned on the stereo.,A stereo is too loud in a dark space.,A stereo will not work without light.,A stereo does not provide illumination.
sentence_1871,I plan on taking a vacation to a distant galaxy.,It is not feasible to take a vacation to a distant galaxy.,There are many galaxies which we have yet to explore while New York is the largest city in America.,Andromeda is perhaps the most talked about distant galaxy and the Knicks play in New York.
sentence_1872,Fathers must leave their children for them to develop normally.,A father has to stay if it's a daughter.,There are not many places for the father to leave to.,A father cannot nurture a child if they are gone.
sentence_1873,Wolves are faster than cheetahs,Cheetahs are from Africa but Wolves are in Asia and the Americas,Cheetahs have an anatomy that is better suitable for speed and acceleration,Cheetahs are cats but Wolves are dogs
sentence_1874,Needle and sewing machine are used for hand stitching,Those don't have sewing machines does hand stitching,For hand stitching one doesn't need a sewing machine,Sewing machines do a better job than hand stitching
sentence_1875,He changed the channel on the bullfrog.,Bullfrogs are animals and channels are things.,Bullfrogs don't know what channels are.,A bullfrog does not have channels.
sentence_1876,I bought a new bathing suit to wear this winter.,Bathing suits can be smaller than a hat.,Hats are made of wool and bathing suits are made of spandex.,"You do not wear bathing suits in the winter to keep warm, you wear a hat."
sentence_1877,He put a toilet in a goldfish.,a toilet cannot fit in a goldfish,a fish swims in a water and a toilet has water,the water from the toilet will always absorb into the fishes' gills.
sentence_1878,He wrote a note with a microwave.,Microwaves do not have something with which to write.,Microwaves are usually black and notes are usually white.,A microwave cannot wread a note.
sentence_1879,"Cricket ball is a glossy red, pulpy edible fruit that is eaten as a vegetable",Cricket ball is round in shape,Cricket ball is usually used to play cricket cannot be eaten,Cricket ball is like apple
sentence_1880,She found her house in the washing machine,Her house is too big to fit in the washing machine,"Keys are made of metal, so are washing machines",The keys can not open the washing machine
sentence_1881,he was sent to a restaurant for treatment after a car crash,a restaurant does not have doctors or medical equipment,a restaurant is usually too noisy for a patient,there are different types of restaurants and many patients in the city
sentence_1882,"Tom and Jerry, the cartoon characters, founded Rome 5,000 years ago.",Rome is located in Italy next to other European countries.,Tom and Jerry are fictional characters.,Tom always chases Jerry and never catches him.
sentence_1883,She rode her bike to the moon.,She did not wear a bike helmet.,A bike cannot travel through the air.,She doesn't like bikes.
sentence_1884,He shouldn't have eaten the Elephant,"Usually people don't eat an elephant, Its too big to be eaten",Elephants like to eat bananas,Elephants have hard dark skin
sentence_1885,Five people walked into a refrigerator at night,People can be short or as tall as a refrigerator,Five people cannot walk into a refrigerator because it's too small,A refrigerator is used to store food
sentence_1886,The boy promised to share his cookie with his chair.,A chair  is an inanimate object that cannot eat a food.,A chair can be made of wood.,A chair and a cookie can both be brown.
sentence_1887,She fed the baby a warm blanket.,Blankets are cozy and snuggly.,Babies drink out of bottles and not out of blankets.,The blanket is blue and the baby is a boy.
sentence_1888,The little girl was carrying a truck on her head,Truck is an impossible thing to carry by a little girl,People place heavy load on their head,Trucks are used to carry load
sentence_1889,Leaves are used to write something down.,Leaves are green and therefore cannot be used for writing.,Leaves do not produce any sort of ink and can't be used for writing.,Leaves grow from trees and can't be used for writing
sentence_1890,He drank a cup of fire,Fire is too big to put in a cup,Fire is not something you can drink,Fire would make the drinker more thirsty
sentence_1891,Some giraffes live in the spaghetti,Giraffes cannot live in a food.,"The serengeti is capable to make wheat, which can create spaghetti.",Spaghetti can be shaped like giraffes.
sentence_1892,I'm cooking a table for dinner,A table is not edible,We use tables to eat dinner,Dinner can be eaten on a variety of surfaces
sentence_1893,A person wants a crispy metals,Metals are very hard to chew,Metals cannot be eaten,Metals are not edible
sentence_1894,The earth revolves around the moon,The earth is larger than the moon so it's gravity influences the moon more.,The moon is grey and the earth is blue,the moon may be made of cheese
sentence_1895,Diarrhoea is often caused by eating healthy food.,Healthy food does not cause diarrhoea.,"Bacteria are of different shapes, while diarrhoea is of different types.",Diarrhoea tends to occur after eating
sentence_1896,I put some oatmeal into the omelette.,Omelettes are not made with oatmeal.,Cookies are made with oatmeal.,An omelette is sticky with oatmeal.
sentence_1897,he saw his bike reflection in the stone,Stone has a hard surface which cannot reflect things,Bike is normally bigger while stone is mostly smaller in size,There are many bikes in the street while stones are fewer
sentence_1898,Cars drive on rails,Cars can run on tracks some places like maybe in Canada,Cars also sometimes have two wheels so who knows how they move,Cars have rubber wheels and don't run on track
sentence_1899,My sister eats wood with dinner.,Wood is usually brown and has splinters.,Wood is not edible by human beings.,My sister cannot consume wood.
sentence_1900,Cups and saucers are used for skiing.,Cups and saucers are used to serve tea for people involved in skiing.,One cannot ski with the help of cups and saucers.,People who ski  like to  drink tea in cups and saucers.
sentence_1901,He kept shoes on the book shelf,Shoes are to protect foot,Shoes are not for reading,Shoes are to be kept in shoe rack not on book shelf
sentence_1902,He plays kitchen everyday.,Kitchen is palyed inside while volley ball is played outside,Kitchen is a place were we cook,Kitchen cannot play volley ball
sentence_1903,The tree walked over to the person.,A tree is not a person.,A tree does not have legs to walk on.,A tree is much larger than a person.
sentence_1904,Eating too much lettuce is unhealthy,Lettuce is often green,Lettuce is very healthy,Lettuce has little taste.
sentence_1905,He drank a square of water.,The water did not fit in the square.,Square is not a proper container or measurement of water.,The square was too round for the water.
sentence_1906,It was hurricane so they flew a kite.,A hurricane would destroy a kite.,"Hurricanes form over the ocean, you can't fly a kite underwater.","Hurricanes make people evacuate, a kite can't fly by itself."
sentence_1907,They took the car into the building,Cars are small and buidlings are big,Buildings can`t get into the car,Cars cant get inside a building
sentence_1908,Fire is wet,Fire can be started from gasoline,Gasoline is wet,Fire involves heat and will evaporate liquids or consume them
sentence_1909,My Aunt eats wooden chairs for lunch.,Boars Head makes Bacon packages.,Wooden Chairs are not edible.,Wooden Chairs have four legs painted brown.
sentence_1910,Dogs go in a bag,Dogs bark and bags are quiet,Dogs cannot breathe in bags,Dogs are loud and bags are quiet
sentence_1911,"Pies and cakes are usually made with arsenic, cyanide and lye.","Arsenic, cyande and lye don't taste good","Arsenic, cyanide and lye are deadly and cannot be eaten.","Arsenic, cyanide and lye are not common ingredients"
sentence_1912,she put the dog in the jar,a dog cannot fit in a jar,jars are usually clear while dogs have fur,a dog has four legs while a jar has none
sentence_1913,Water is used to rub out something written by carbon pencil,Water can be used to wash dirts,Water cannot be used to rub out anything written,Water is essential to drink
sentence_1914,"Paper is a glass or plastic container with a narrow neck, used for storing drinks or other liquids",Paper can be seen in different colors,"Paper is a material used for writing, drawing, or printing on, or as wrapping material",People store drinks to consume later
sentence_1915,Generally a motor cycle has 5 wheels,Motor cycles are in two wheeler category,One needs to check wheels of a motor cycle,Motor cycles available in different wheel sizes
sentence_1916,Most people sleep on air,Air is too cold and uncomfortable for most people,Air is not a solid surface,Air is too scarce of a material to mass produce
sentence_1917,Difference between a pen and a pencil is that a pen has blood in it,You may find pens that writes in blood color,A lab may write blood test report with a pen,There is no blood in the non living things
sentence_1918,He prepared lunch using a computer,People work on computer after lunch,You can prepare a food menu in computer,A computer cannot produce food items
sentence_1919,usually summer is cold,you can drink a cold beverage in hot summer and feel cold,summer is the hottest season therefore can not be cold usually.,in hot summer it could be very cold at home by a good air conditioning.
sentence_1920,Many people live on Mars.,Mars does not have good weather.,Mars cannot sustain life.,Mars is much bigger than Canada.
sentence_1921,Use the feather to start the car.,Feathers are pink and keys are silver.,You need car keys to start a car not a feather.,Feathers do not match the car upholstery.
sentence_1922,He talked to her using a book shelf,Book shelves are for keeping books,There are book shelves in the library,He can buy any type of book shelves
sentence_1923,My tv is watching a film,The tv preferred to watch another film,The tv is used to watch film. It isn't a human being.,The tv can't watch any film without pay
sentence_1924,he cooked chicken in the chair,chair is tool used to sit,chicken has two legs while chair has four legs,chair is made of plastic while chicken is a bird
sentence_1925,The quarterback threw the car to the receiver.,Footballs have laces to grip and cars have treads.,A car is too heavy to throw.,Cars travel faster than footballs.
sentence_1926,He placed the donkey in the fridge,A donkey does not go into a fridge,donkey tend to be smelly while fridges do not,a donkey does not belong near a fridge
sentence_1927,She put a tree in the fridge.,Trees are made of maple and leaves grown outside.,Trees cannot go in the fridge.,Fridges usually have a freezer too.
sentence_1928,The dog and the doctor talked,The dog did not like the doctor,The doctor was deaf,A dog cannot talk
sentence_1929,The deer flew into the woods.,a deer cannot fly and does not have wings.,deer are usually scared of the woods,deer do not like to be where the turkeys are
sentence_1930,She plugged the charger into the banana.,"Bananas are usually yellow, while chargers come in different colors.","A banana is a fruit, not a electical device to be charged.",Bananas don't charge phones.
sentence_1931,You can incinerate more flies with honey.,Incinerate means to catch on fire.,Bees make honey and can fly.,Honey is not a flammable substance.
sentence_1932,Smoking is beneficial for your heart and lungs,Smoking while jogging is a great way to win Olympics,Smoking shortens your life and increases the chance of cancer and heart deseases,People who smoke increase chances to benefit jogging
sentence_1933,He ate an rotten potato.,Rotten potatoes have a bad smell.,A rotten potato is bad for you.,A rotten potato cannot be an edible potato.
sentence_1934,She drove her cat to work.,Cats are not vehicles.,Cats are animals and driving is an action.,Driving cats is illegal.
sentence_1935,This hat cost ten miles,Most hats are round in shape,Some hats costs too much,Miles is used to mention distances not costs
sentence_1936,He put a television on her finger.,Televisions show pictures and fingers do not.,Televisions are electronic.,"Televisions go on a table, not on a finger."
sentence_1937,The dog took the girl for a walk.,Dogs don't walk humans.,Dogs have 4 legs and humans have 2.,Humans don't wear leashes.
sentence_1938,You shall study to be worst,"Studying, it will improve the results",Study is better than do nothing,Study is better than sleep
sentence_1939,I am driving the house,you sleep in a house but not a car,you cannot drive a house,cars are not bigger than houses
sentence_1940,Rabbits can be found in rivers.,Rabbits are too large to fit inside rivers.,Rabbits are not aquatic animals and require air for survival.,"Rabbits only exist indoors, and cannot go outside."
sentence_1941,Josie took a sky,Skies are big,no one can take sky,Skies cannot be touched
sentence_1942,You are trying to choose a lemur in lemur land,"Find is different of choose, the mean is a person is trying to get something in the crowd, in the multitude of things",To choose is necessary to find,Find or choose are the same in some cases
sentence_1943,Tomatoes are grown on Mars.,Mars has no water sources for growing.,The correct growing conditions don't exist on Mars,The sun's warmth cannot reach Mars.
sentence_1944,He cooked a giraffe in the oven,Giraffes have stripes and an oven does not.,A giraffe cannot cook an oven,a giraffe is much bigger than the oven
sentence_1945,The giraffe walked into the living room.,A giraffe has polka dots while the living room is black.,A giraffe is too tall to fit through a door.,A giraffe eats leaves while a living room doesn't.
sentence_1946,The man ate the apple with a donut.,Donuts are softer than most apples.,One cannot eat an apple using a donut.,"Forks can stab you, donuts can't."
sentence_1947,He ate a cheeseburger with his socks,Socks are soft and cheeseburgers are greasy,Socks are made of wool and cheeseburgers are made of meat,Socks are not eating utensils
sentence_1948,A monkey eats rice with beans,monkeys don't eat alligator,monkeys don't throw feces,Monkeys only eat fruits
sentence_1949,she has a penis,vaginas are not a part of males body,only females have vaginas,woman are born with vaginas
sentence_1950,Our tongue helps us walk,A tongue is usually pinkish,We have just onde tongue,We don't use the tongue to walk
sentence_1951,A wheel is a square object,The wheel was invented by pre-historic humans,"A wheel is always round, like a circle, and it's used in many different ways","A circle, a triangle and a square are all shapes"
sentence_1952,He lit the stone on fire.,The fire can heat up the stone.,The stone can't touch the fire.,Stones can't catch fire.
sentence_1953,Chair cushions are made of nails.,Nails are sharper than foam.,You cannot sit on nails.,Nails will poke through your skin.
sentence_1954,Wood is a material which reflects a clear image of objects,Most woods have a vast applications in our life,Woods never reflect a clear image,Woods are costly due to unavailability
sentence_1955,My friend was riding a bike on the chair,A chair can be of many different sizes and shapes,A bike and a chair can both be used to sit on,A chair is not big enough to ride a bike on
sentence_1956,Log is running fast on jogging track,Logs lies on land,Logs can flow in river stream,Log can't run as it is a non living thing
sentence_1957,"Pen is an instrument composed of a blade fixed into a handle, used for cutting",Some writers use their pen as a weapon against racism,A pen can have different colored ink in it,Pen is an instrument used to write in books
sentence_1958,The pet store was selling toasters.,Toasters are not sold in pet stores.,Toasters are for making toast and snakes are for keeping in a cage.,Snakes eat mice and toasters are shiny.
sentence_1959,He wrote with a bird on the paper,Birds are too soft for paper,Birds will chew on paper,Birds are not writing utensils
sentence_1960,he opened the coke with the thread,coke cannot dissolve thread,coke is normally in brown color while threads can be of any color,thread is not a hard object to break something
sentence_1961,A marriage card is for business,Marriage card is only for marriage,Business card and marrige card cannot be same,Cannot do business with marrige cards
sentence_1962,He smokes cell phone,No one smokes cell phone nor lit them,A cell phone is hot when lit,Some people can put cell phone in their mouths
sentence_1963,The man ate the bridge,One cannot eat bridges,Chickens can walk over bridges,Chickens cannot eat a bridge
sentence_1964,Couches are for eating,Couches are too big to eat,Couches are inedible,Couches don't taste good
sentence_1965,I put the dog in the coffee mug.,Dogs can't fit into coffee mugs.,Dogs bark and coffee mugs don't bark.,Dogs love to eat coffee mugs all the time.
sentence_1966,he switched on the dish washer to watch a horror film.,a dish washer cannot display movies.,a dish washer does not have a big screen to play movies,there are different types of  dish washers and many movies in the city.
sentence_1967,She went to the market to sell her rotten milk,"smooth milk is fresh, bad milk is clumpy",bad milk should not be mixed with good milk,There is no use for a store to buy rotten milk
sentence_1968,Cars can drive faster than a plane.,A plane is way faster than a car.,A plane can crush a car.,Both the car and the plane has wheels.
sentence_1969,You should put paper in the waste bin,The paper can be recycled and so it's environmentally friendly to put in the recycling bin,"Paper can go in the waste bin, but it won't be recycled",Environmentalists want to increase what we recycle.
sentence_1970,She fed her cats a basketball for their dinner.,A basketball is not edible even for cats.,A basketball is orange and would not look tasty to the cats.,A basketball would cause the cats to play.
sentence_1971,He placed a blender on the mantle.,Blenders use electricity whereas a mantle is above a fireplace.,A blender doesn't work above a fireplace.,People use a blender in the kitchen.
sentence_1972,He filled the gas tank of the horse.,horses cannot fit in a gas tank,Horses don't have gas tanks.,gas is a liquid and horses are solid
sentence_1973,My house is inside of me,My house is colored pink but  I am white,I love my house very much,my house is bigger than me
sentence_1974,You should put your dirty clothes in the fireplace.,The fireplace will turn the clothes red.,Clothes don't fit in a fireplace.,"Dirty clothes usually need to be cleaned, not burned."
sentence_1975,he was taking bath in the kitchen,kitchen is too small and he is tall and fat,kitchen is a place to cook food,kitchen is already occupied with utensils and no place to bath
sentence_1976,A ball can kick a footballer,Footballers have balls but balls don't have balls,A footballer cannot eat a ball,The ball has no legs to kick the footballer with
sentence_1977,you are likely to find a ocean in a whale,both oceans and whales are made of water,oceans are blue and so are whales,oceans are bigger than whales
sentence_1978,I enjoy reading book in a busy market,Busy markets will be always noisy which would be very disturbing to read a book,Markets will be silent like an abandoned place when it is closed on public holidays,Most markets usually sell vegetables and fruits and rarely has a book shop
sentence_1979,You wear bread on your feet.,Bread is brown from the over like many shoes you wear.,Bread is for eating not wearing.,We do not keep bread in our shoes.
sentence_1980,He put the wood chips in the cat's bowl.,Wood chips fit in a cat food bowl.,Wood chips are an excellent source of fiber.,Cat's don't eat wood chips.
sentence_1981,I took an elephant to the cinema,The zoo is larger than a cinema,An elephant would eat popcorn,An elephant can not go to a cinema
sentence_1982,Drinking an entire bottle of wine is usually a necessary condition for getting drunk but not a sufficient one.,Grapes are a necessary ingredient in the process of making wine but not a sufficient ingredient.,Drinking an entire bottle of wine will get most people drunk but one may also get drunk from drinks other than wine.,Wine is typically consumed orally but can be consumed intravenously if one desired.
